type,policy_logps,reference_logps,rewards,lengths
chosen,-27.362741470336914,-25.954181671142578,-0.14085598289966583,-257
rejected,-58.167179107666016,-46.071746826171875,-1.209543228149414,-236
chosen,-515.4378051757812,-485.283203125,-3.015460252761841,-3
rejected,-579.3524780273438,-523.0372314453125,-5.631524562835693,0
chosen,-158.48939514160156,-136.93780517578125,-2.1551589965820312,-229
rejected,-89.96966552734375,-66.84381103515625,-2.3125855922698975,-261
chosen,-120.21293640136719,-112.35002136230469,-0.7862915396690369,-75
rejected,-63.969482421875,-32.909706115722656,-3.105977773666382,-131
chosen,-391.5488586425781,-390.5820007324219,-0.09668578952550888,-107
rejected,-325.5893249511719,-325.390380859375,-0.01989440992474556,-137
chosen,-52.30237579345703,-34.74186706542969,-1.756050944328308,2
rejected,-51.130760192871094,-23.509376525878906,-2.7621383666992188,-9
chosen,-59.34638977050781,-49.436126708984375,-0.9910263419151306,18
rejected,-211.33724975585938,-187.86614990234375,-2.3471100330352783,71
chosen,-158.01708984375,-131.4299774169922,-2.6587111949920654,-204
rejected,-112.55323028564453,-96.54931640625,-1.6003913879394531,-211
chosen,-224.1501007080078,-206.9652862548828,-1.718481421470642,42
rejected,-40.117462158203125,-25.943397521972656,-1.417406439781189,-26
chosen,-27.101959228515625,-22.970199584960938,-0.4131759703159332,-232
rejected,-50.937744140625,-45.1136360168457,-0.5824108123779297,-228
chosen,-21.301654815673828,-20.38309669494629,-0.09185581654310226,-16
rejected,-37.68399429321289,-25.222747802734375,-1.2461246252059937,-7
chosen,-180.93446350097656,-179.41751098632812,-0.15169525146484375,67
rejected,-156.5255126953125,-144.0885009765625,-1.2437012195587158,40
chosen,-221.71612548828125,-215.20652770996094,-0.6509597897529602,115
rejected,-288.85906982421875,-271.7508850097656,-1.7108185291290283,145
chosen,-167.62353515625,-166.3193817138672,-0.13041535019874573,-166
rejected,-81.35832977294922,-79.16193389892578,-0.2196395844221115,-206
chosen,-45.677040100097656,-27.487472534179688,-1.818956732749939,-9
rejected,-42.629539489746094,-15.688714981079102,-2.694082498550415,-12
chosen,-20.097126007080078,-19.800500869750977,-0.029662514105439186,-242
rejected,-35.86402130126953,-17.373119354248047,-1.8490902185440063,-237
chosen,-112.2645492553711,-108.29204559326172,-0.39725038409233093,-192
rejected,-305.32305908203125,-257.5152282714844,-4.780783176422119,-116
chosen,-118.55938720703125,-82.35623168945312,-3.6203155517578125,-74
rejected,-107.90607452392578,-81.88665771484375,-2.6019418239593506,-71
chosen,-257.2299499511719,-225.82452392578125,-3.14054274559021,237
rejected,-160.0760040283203,-142.8499755859375,-1.7226028442382812,33
chosen,-242.18496704101562,-231.57913208007812,-1.060583472251892,102
rejected,-78.15718078613281,-67.46553039550781,-1.0691651105880737,26
