type,policy_logps,reference_logps,rewards,lengths
rejected,-365.25616455078125,-317.00433349609375,-4.825183391571045,-130
chosen,-96.43040466308594,-55.003299713134766,-4.1427106857299805,6
rejected,-154.29409790039062,-133.01467895507812,-2.127941846847534,36
chosen,-64.809814453125,-44.71813201904297,-2.0091683864593506,3
rejected,-31.196521759033203,-9.791499137878418,-2.1405022144317627,-7
chosen,-81.19261932373047,-49.188114166259766,-3.2004506587982178,-151
rejected,-103.80996704101562,-79.33199310302734,-2.4477975368499756,-127
chosen,-110.5770034790039,-33.66383743286133,-7.6913161277771,0
rejected,-83.70672607421875,-10.313364028930664,-7.339336395263672,-5
chosen,-103.44190216064453,-70.41319274902344,-3.302870988845825,25
rejected,-115.18980407714844,-70.13108825683594,-4.505871772766113,20
chosen,-64.8458023071289,-45.40803527832031,-1.9437767267227173,-194
rejected,-133.17535400390625,-87.71943664550781,-4.545591831207275,-187
chosen,-19.87779998779297,-6.396661758422852,-1.3481138944625854,-162
rejected,-101.38041687011719,-67.72412109375,-3.3656296730041504,-127
chosen,-44.14691162109375,-25.77249526977539,-1.8374416828155518,6
rejected,-112.22120666503906,-83.79547119140625,-2.842573642730713,10
chosen,-115.01168060302734,-39.729209899902344,-7.528247356414795,-1
rejected,-133.22142028808594,-71.96380615234375,-6.12576150894165,7
chosen,-117.82572937011719,-92.24126434326172,-2.5584466457366943,-101
rejected,-341.2581787109375,-304.7978515625,-3.6460328102111816,10
chosen,-292.51605224609375,-255.94293212890625,-3.6573121547698975,-233
rejected,-137.95545959472656,-66.03138732910156,-7.192407131195068,-322
chosen,-277.6082458496094,-245.8101806640625,-3.1798064708709717,81
rejected,-81.67333221435547,-47.96353530883789,-3.3709797859191895,-16
chosen,-176.7010040283203,-114.60537719726562,-6.2095627784729,0
rejected,-142.6623077392578,-74.38134765625,-6.82809591293335,-35
chosen,-91.11062622070312,-74.02155303955078,-1.7089073657989502,31
rejected,-126.20730590820312,-65.22150421142578,-6.098580360412598,16
chosen,-162.241455078125,-124.30646514892578,-3.793498992919922,-33
rejected,-205.75881958007812,-176.9818878173828,-2.8776931762695312,-49
chosen,-37.59024429321289,-16.855382919311523,-2.073486089706421,-377
rejected,-49.67832946777344,-38.13309860229492,-1.1545231342315674,-377
chosen,-119.56317138671875,-83.10369110107422,-3.6459481716156006,22
rejected,-118.28199005126953,-84.51358032226562,-3.3768410682678223,23
chosen,-380.48248291015625,-358.3650207519531,-2.2117462158203125,49
rejected,-160.7016143798828,-93.40277099609375,-6.729884624481201,-148
chosen,-149.26629638671875,-137.44180297851562,-1.1824493408203125,-158
rejected,-248.27386474609375,-227.5504608154297,-2.072340488433838,-123
chosen,-129.0100555419922,-94.17044830322266,-3.4839608669281006,-18
rejected,-362.36236572265625,-333.7415771484375,-2.862078905105591,90
chosen,-158.64370727539062,-146.6649169921875,-1.1978790760040283,45
rejected,-78.32740783691406,-32.792236328125,-4.5535173416137695,-28
chosen,-126.3212661743164,-95.98304748535156,-3.0338218212127686,25
rejected,-185.79019165039062,-164.21429443359375,-2.1575896739959717,101
chosen,-270.78826904296875,-246.49176025390625,-2.4296510219573975,101
rejected,-131.6433868408203,-81.14569091796875,-5.049769878387451,23
chosen,-352.26190185546875,-314.74676513671875,-3.751513719558716,-88
rejected,-236.60031127929688,-186.61434936523438,-4.99859619140625,-179
chosen,-112.18011474609375,-87.68539428710938,-2.449472188949585,-12
rejected,-256.2947082519531,-209.84097290039062,-4.645373821258545,43
chosen,-359.8340759277344,-340.8324890136719,-1.9001587629318237,-11
rejected,-380.7498779296875,-337.8582763671875,-4.289160251617432,-24
chosen,-387.40643310546875,-353.486083984375,-3.3920350074768066,137
rejected,-418.1278381347656,-371.8310546875,-4.629678249359131,200
chosen,-169.9618682861328,-141.6697998046875,-2.829206943511963,-112
rejected,-248.30026245117188,-206.072265625,-4.222799777984619,-82
